# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - ResoNix Accurate
# NTT: Definition v2 - DACeAgI-AFMCAIAA2wEAdgGQAQNcCG0BAOwOXgEBKBlyAQJgVF4BAQ 
9251.441 -1.607
9427.313 -1.625
9606.529 -1.644
9789.151 -1.666
9975.245 -1.689
10164.877 -1.715
10358.114 -1.742
10555.024 -1.772
10755.678 -1.805
10960.146 -1.839
11168.501 -1.877
11380.817 -1.917
11597.169 -1.959
11817.634 -2.005
12042.29 -2.05
12271.217 -2.092
12504.496 -2.131
12742.209 -2.168
12984.442 -2.202
13231.279 -2.234
13482.809 -2.264
13739.12 -2.291
14000.305 -2.316
14266.454 -2.339
14537.662 -2.36
14814.027 -2.379
15095.645 -2.396
15382.617 -2.412
15675.044 -2.426
15973.031 -2.438
16276.682 -2.449
16586.106 -2.458
16901.412 -2.467
17222.712 -2.474
17550.12 -2.48
17883.752 -2.485
18223.726 -2.489
18570.164 -2.492
18923.187 -2.495
19282.921 -2.497
19649.494 -2.498
20023.036 -2.499
20403.679 -2.5
20791.558 -2.5
21186.81 -2.5
22000 -2.5
