# Generated from Nono Tuning Tool
# Version 3.1.1
# NTT: Name - ResoNix Laid-Back
# NTT: Definition v2 - EgDkAgAeANACADYAcQIAXwADAgCWAOABANIAxwEAhAG4AQCsA5ABAGwHWQEA5AwsAQAIIEABAJAzOwEACFInAQA - smooth 
12742.209 -4.205
12984.442 -4.229
13231.279 -4.253
13482.809 -4.282
13739.12 -4.316
14000.305 -4.354
14266.454 -4.397
14537.662 -4.443
14814.027 -4.492
15095.645 -4.543
15382.617 -4.597
15675.044 -4.651
15973.031 -4.706
16276.682 -4.762
16586.106 -4.817
16901.412 -4.871
17222.712 -4.924
17550.12 -4.974
17883.752 -5.023
18223.726 -5.068
18570.164 -5.109
18923.187 -5.146
19282.921 -5.178
19649.494 -5.205
20023.036 -5.226
20403.679 -5.241
20791.558 -5.249
21186.81 -5.25
22000 -5.25
